constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,1959070850.0,381535500,3679081507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,381540500,3679103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,381530500,4121559571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,381535500,4121581507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,381540500,4121603443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,381530500,4564059571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,381535500,4564081507.65363,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,381540500,4564103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,431530500,3898420134.4205446,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,431535500,3898442070.4768267,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,431540500,3898464006.533109,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,431530500,4340920134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,431535500,4340942070.476827,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,431540500,4340964006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,431530500,4783420134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,431535500,4783442070.476827,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,431540500,4783464006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,481530500,4117780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,481535500,4117802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,481540500,4117824569.3563056,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,481530500,4560280697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,481535500,4560302633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2401570850.0,481540500,4560324569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,481530500,5002780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,481535500,5002802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2844070850.0,481540500,5002824569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,1959070850.0,381630500,3679498292.722995,5,High,High
Starlink,2500000,3500000,4500000,1959070850.0,381635500,3679520228.779277,5,High,High
Starlink,2500000,3500000,4500000,1959070850.0,381640500,3679542164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2401570850.0,381630500,4121998292.722995,5,High,High
Starlink,2500000,3500000,4500000,2401570850.0,381635500,4122020228.779277,5,High,High
Starlink,2500000,3500000,4500000,2401570850.0,381640500,4122042164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2844070850.0,381630500,4564498292.722995,5,High,High
Starlink,2500000,3500000,4500000,2844070850.0,381635500,4564520228.779277,5,High,High
Starlink,2500000,3500000,4500000,2844070850.0,381640500,4564542164.83556,5,High,High
Starlink,2500000,3500000,4500000,1959070850.0,431630500,3898858855.5461907,5,High,High
